Date,Bitcoin.tone,Bitcoin.vol,Ethereum.tone,Ethereum.vol
2017-09-25 00:00:00,-1.1722,0.5229,-1.1616,0.4862
2017-09-26 00:00:00,-1.0809,0.5252,-1.1716,0.4861
2017-09-27 00:00:00,-0.8251,0.4554,-0.9294,0.3979
2017-09-28 00:00:00,-0.9523,0.471,-0.9801,0.4382
2017-09-29 00:00:00,-1.4232,0.5732,-1.2925,0.5317
2017-09-30 00:00:00,-1.2256,0.2823,-1.1701,0.2637
2017-10-01 00:00:00,-1.2552,0.2348,-1.1758,0.2211
2017-10-02 00:00:00,-0.7096,0.3997,-0.6881,0.372
2017-10-03 00:00:00,-0.8999,0.4474,-0.9864,0.4115
2017-10-04 00:00:00,-1.2455,0.4741,-1.226,0.4299
2017-10-05 00:00:00,-0.745,0.4109,-0.7311,0.3877
2017-10-06 00:00:00,-0.7273,0.5153,-0.6846,0.4828
2017-10-07 00:00:00,-1.2454,0.2524,-1.2507,0.2269
2017-10-08 00:00:00,-1.0762,0.2547,-1.1048,0.2374
2017-10-09 00:00:00,-1.0541,0.5172,-1.0516,0.4927
2017-10-10 00:00:00,-0.8236,0.5391,-0.8163,0.5051
2017-10-11 00:00:00,-1.0331,0.4217,-0.9675,0.387
2017-10-12 00:00:00,-0.5872,0.4196,-0.5516,0.3788
2017-10-13 00:00:00,-0.6648,0.4735,-0.6505,0.4184
2017-10-14 00:00:00,-0.7608,0.2732,-0.8146,0.252
2017-10-15 00:00:00,-0.8574,0.2963,-0.8373,0.273
2017-10-16 00:00:00,-0.8043,0.4683,-0.8382,0.4342
2017-10-17 00:00:00,-1.0441,0.4956,-0.9752,0.4543
2017-10-18 00:00:00,-1.082,0.4673,-1.0154,0.4116
2017-10-19 00:00:00,-0.8062,0.4949,-0.5868,0.4302
2017-10-20 00:00:00,-0.9376,0.4486,-0.9155,0.388
2017-10-21 00:00:00,-1.1279,0.3083,-1.1235,0.2742
2017-10-22 00:00:00,-0.9593,0.2444,-0.9261,0.2306
2017-10-23 00:00:00,-0.8957,0.4777,-0.9119,0.4442
2017-10-24 00:00:00,-0.4397,0.53,-0.4211,0.4907
2017-10-25 00:00:00,-0.4166,0.5137,-0.2888,0.4664
2017-10-26 00:00:00,-0.9964,0.5421,-0.9836,0.5129
2017-10-27 00:00:00,-0.8042,0.4509,-0.8299,0.4262
2017-10-28 00:00:00,-0.8546,0.2388,-0.8881,0.2261
2017-10-29 00:00:00,-0.7525,0.2677,-0.739,0.2461
2017-10-30 00:00:00,-0.4676,0.4812,-0.457,0.4431
2017-10-31 00:00:00,-0.6921,0.5037,-0.7617,0.4543
2017-11-01 00:00:00,-0.5884,0.5412,-0.5828,0.4756
2017-11-02 00:00:00,-0.7954,0.5418,-0.7745,0.4965
2017-11-03 00:00:00,-1.056,0.5859,-0.9761,0.5274
2017-11-04 00:00:00,-1.9888,0.3692,-1.4529,0.2532
2017-11-05 00:00:00,-1.0076,0.3091,-0.9368,0.272
2017-11-06 00:00:00,-0.6296,0.4227,-0.6562,0.3872
2017-11-07 00:00:00,-0.9538,0.5448,-1.0069,0.5097
2017-11-08 00:00:00,-1.2724,0.7173,-1.3223,0.6687
2017-11-09 00:00:00,-0.9,0.5149,-0.8801,0.4737
2017-11-10 00:00:00,-1.0574,0.4785,-1.058,0.4385
2017-11-11 00:00:00,-0.9089,0.3146,-0.9139,0.283
2017-11-12 00:00:00,-1.4636,0.2546,-1.5434,0.229
2017-11-13 00:00:00,-1.3044,0.492,-1.3535,0.4369
2017-11-14 00:00:00,-0.8577,0.4689,-0.8488,0.4231
2017-11-15 00:00:00,-0.8033,0.4936,-0.8098,0.431
2017-11-16 00:00:00,-0.4471,0.523,-0.4659,0.4812
2017-11-17 00:00:00,-0.712,0.5786,-0.6763,0.5176
2017-11-18 00:00:00,-1.7648,0.5036,-1.8299,0.4799
2017-11-19 00:00:00,-0.4857,0.3513,-0.5222,0.3225
2017-11-20 00:00:00,-0.8666,0.533,-0.9886,0.4634
2017-11-21 00:00:00,-1.8982,0.614,-1.8016,0.5124
